stage,stage_name,day in stage,trial,A1o,A1c,A2o,A2c,A3o,A3c,A4o,A4c,action,reward
1,ODOR1,3,92.0,-1,-1,0,1,-1,-1,1,0,,
1,ODOR1,3,93.0,-1,-1,-1,-1,0,0,1,1,,
1,ODOR1,3,94.0,0,1,-1,-1,1,0,-1,-1,3.0,1.0
1,ODOR1,3,95.0,1,1,-1,-1,0,0,-1,-1,1.0,1.0
1,ODOR1,3,96.0,1,1,0,0,-1,-1,-1,-1,,
1,ODOR1,3,97.0,-1,-1,1,0,0,1,-1,-1,,
1,ODOR1,3,98.0,-1,-1,1,0,0,1,-1,-1,,
1,ODOR1,3,99.0,-1,-1,-1,-1,1,1,0,0,3.0,1.0
1,ODOR1,3,100.0,0,0,-1,-1,1,1,-1,-1,,
1,ODOR1,3,101.0,0,1,-1,-1,1,0,-1,-1,1.0,0.0
1,ODOR1,3,102.0,-1,-1,1,1,0,0,-1,-1,2.0,1.0
1,ODOR1,3,103.0,-1,-1,0,0,-1,-1,1,1,4.0,1.0
1,ODOR1,3,104.0,-1,-1,-1,-1,1,1,0,0,,
1,ODOR1,3,105.0,1,0,-1,-1,0,1,-1,-1,,
1,ODOR1,3,106.0,-1,-1,1,1,0,0,-1,-1,2.0,1.0
1,ODOR1,3,107.0,1,0,-1,-1,0,1,-1,-1,1.0,1.0
1,ODOR1,3,108.0,-1,-1,0,1,1,0,-1,-1,2.0,0.0
1,ODOR1,3,109.0,0,1,1,0,-1,-1,-1,-1,1.0,0.0
1,ODOR1,3,110.0,-1,-1,-1,-1,0,0,1,1,,
1,ODOR1,3,111.0,-1,-1,1,0,-1,-1,0,1,2.0,1.0
1,ODOR1,3,112.0,1,1,0,0,-1,-1,-1,-1,1.0,1.0
1,ODOR1,3,113.0,0,0,-1,-1,1,1,-1,-1,,
1,ODOR1,3,114.0,-1,-1,0,0,1,1,-1,-1,,
1,ODOR1,3,115.0,-1,-1,1,1,-1,-1,0,0,2.0,1.0
1,ODOR1,3,116.0,-1,-1,0,0,-1,-1,1,1,4.0,1.0
1,ODOR1,3,117.0,-1,-1,-1,-1,1,0,0,1,,
1,ODOR1,3,118.0,0,0,1,1,-1,-1,-1,-1,2.0,1.0
1,ODOR1,3,119.0,-1,-1,-1,-1,0,0,1,1,,
1,ODOR1,3,120.0,1,0,0,1,-1,-1,-1,-1,,
1,ODOR1,3,121.0,-1,-1,1,1,0,0,-1,-1,2.0,1.0
1,ODOR1,3,122.0,1,0,-1,-1,0,1,-1,-1,,
1,ODOR1,3,123.0,0,1,-1,-1,1,0,-1,-1,,
1,ODOR1,3,124.0,-1,-1,-1,-1,1,0,0,1,,
1,ODOR1,3,125.0,1,0,-1,-1,0,1,-1,-1,,
1,ODOR1,3,126.0,-1,-1,-1,-1,1,1,0,0,,
1,ODOR1,3,127.0,-1,-1,-1,-1,0,0,1,1,4.0,1.0
1,ODOR1,3,128.0,0,1,-1,-1,1,0,-1,-1,1.0,0.0
1,ODOR1,3,129.0,-1,-1,1,1,0,0,-1,-1,2.0,1.0
1,ODOR1,3,130.0,1,1,0,0,-1,-1,-1,-1,2.0,0.0
1,ODOR1,3,131.0,-1,-1,1,1,-1,-1,0,0,2.0,1.0
1,ODOR1,3,132.0,-1,-1,1,0,-1,-1,0,1,2.0,1.0
1,ODOR1,3,24.0,-1,-1,-1,-1,-1,-1,-1,-1,,
1,ODOR1,4,1.0,1,1,0,0,-1,-1,-1,-1,2.0,0.0
1,ODOR1,4,2.0,0,1,1,0,-1,-1,-1,-1,1.0,0.0
1,ODOR1,4,3.0,-1,-1,1,1,0,0,-1,-1,2.0,1.0
1,ODOR1,4,4.0,-1,-1,0,1,1,0,-1,-1,3.0,1.0
1,ODOR1,4,5.0,-1,-1,0,0,1,1,-1,-1,2.0,0.0
1,ODOR1,4,6.0,-1,-1,1,1,-1,-1,0,0,2.0,1.0
1,ODOR1,4,7.0,-1,-1,-1,-1,1,0,0,1,4.0,0.0
1,ODOR1,4,8.0,1,0,-1,-1,0,1,-1,-1,3.0,0.0
1,ODOR1,4,9.0,-1,-1,-1,-1,1,0,0,1,4.0,0.0
1,ODOR1,4,10.0,-1,-1,0,0,-1,-1,1,1,2.0,0.0
1,ODOR1,4,11.0,-1,-1,-1,-1,0,1,1,0,4.0,1.0
1,ODOR1,4,12.0,-1,-1,1,0,0,1,-1,-1,2.0,1.0
1,ODOR1,4,13.0,-1,-1,1,0,-1,-1,0,1,2.0,1.0
